,file_name,file_datetime,has_bf_label,product_name,product_categories,product_price,product_old_price,product_percentage
85,3.1ch-f3l-bluetooth-sound-system-a-dvd-player-djack-mpg1492305.html,2022-11-25 06:15:21.172261,0,Nunix 3.1CH  Bluetooth Sound System + A  DVD Player,"Electronics,Home Audio,Home Theater Systems,Speakers,Subwoofers","₦ 42,000",,
86,3.1ch-premium-home-theatre-system-dj-3030-djack-mpg279768.html,2022-11-25 06:13:38.952674,0,Djack 3.1ch Premium Home Theatre System Dj-3030,"Electronics,Home Audio,Home Theater Systems,Speakers","₦ 65,000","₦ 70,000",7%
87,3.5g3g-usb-internet-wireless-modem-hsdpa-mpg1220385.html,2022-11-25 06:29:19.342555,1,Hsdpa 3.5G/3G USB Internet Wireless Modem,"Computing,Computer Accessories","₦ 5,999",,
88,30-amp-automatic-voltage-protector-avp-3000-binatone-mpg1662355.html,2022-11-25 06:12:03.093653,1,Binatone 30 AMP Automatic Voltage Protector AVP-3000 - White,"Electronics,Accessories & Supplies,Power Protection","₦ 10,918","₦ 11,342",4%
89,300mbps-universal-wi-fi-range-extender-tl-wa850re-tp-link-mpg156677.html,2022-11-25 06:08:54.984725,0,TP-Link 300Mbps Universal Wi-Fi Range Extender (TL-WA850RE ),"Computing,Computer Accessories","₦ 24,000",,
90,300ml-x-3-multi-purpose-insecticides-spray-baygon-mpg1650720.html,2022-11-25 06:26:25.856562,0,Baygon 300ML X 3 Multi Purpose Insecticides Spray,"Grocery,Household Supplies,Insecticides","₦ 7,800","₦ 9,500",18%
91,32-inch-full-hd-led-television-free-wall-bracket-ailyons-mpg1632338.html,2022-11-25 06:11:15.782858,1,"Dixon 32""-Inch Full HD LED Television + Free Wall Bracket","Electronics,Television & Video,Televisions,LED & LCD TVs","₦ 60,890","₦ 89,000",32%
92,32-inch-led-digital-tv-syinix-mpg1657556.html,2022-11-25 06:13:04.960466,1,Syinix 32 Inch LED Digital TV,"Electronics,Television & Video,Televisions,Smart TVs","₦ 56,316","₦ 79,287",29%
93,32-inch-smart-curved-tv-with-netflix-1year-warranty-polystar-mpg1662344.html,2022-11-25 06:16:57.351738,0,"Polystar 32"" INCH SMART CURVED TV With Netflix (1year Warranty)","Electronics,Television & Video,Televisions,Smart TVs","₦ 110,000","₦ 150,000",27%
94,32-inches-amani-led-tv-amani-mpg1569662.html,2022-11-25 06:11:34.309732,0,"Amani 32"" Inches Amani LED TV","Electronics,Television & Video,Televisions,LED & LCD TVs","₦ 57,990","₦ 95,000",39%
95,32-inches-hd-led-tv-hdmi-usb-dametek-mpg1191074.html,2022-11-25 06:30:34.455307,1,"Dametek 32"" Inches HD LED TV + HDMI + USB","Electronics,Television & Video,Televisions,LED & LCD TVs","₦ 57,500","₦ 76,600",25%
